( 1.13424033570912 , 9.95834743661035 )
( 1.1377865617936405 , 9.887614206009395 )
( 1.1386857999849842 , 9.880062437850539 )
( 1.1462053740001488 , 9.769018017276762 )
( 1.183593349150873 , 9.721105291104207 )
( 1.35101358306015 , 9.685917496845917 )
( 1.4354506157609739 , 9.629092372652313 )
( 1.4700327369611275 , 9.574320611527574 )
( 1.4922486300259659 , 9.540376053050819 )
( 1.503827806234572 , 9.530801972617372 )
( 1.5088624870885794 , 9.475479447002531 )
( 1.5377463232083792 , 9.286774675088413 )
( 1.5907003480428374 , 9.275434267781732 )
( 1.6277446790286343 , 9.12697209072746 )
( 1.6415820701759158 , 8.985965389149825 )
( 1.6732763171832048 , 8.982272052411808 )
( 1.7114900084430817 , 8.920604899809838 )
( 1.7850484358057876 , 8.891606421254469 )
( 1.8621475113020116 , 8.838805884773674 )
( 1.9807237206180657 , 8.81364801874216 )
( 2.234178778444711 , 8.675218045716807 )
( 2.569203176306978 , 8.668323875549337 )
( 2.610461466019939 , 8.63804378631788 )
( 2.6213210973682344 , 8.592325161597753 )
( 2.6241993691222083 , 8.556596632123915 )
( 2.701989078028592 , 8.533068289950375 )
( 2.915012493207596 , 8.489991915170034 )
( 3.091735870586286 , 8.45504412334037 )
( 3.10497890896882 , 8.392369277783553 )
( 3.112154364958659 , 8.293696927503234 )
( 3.147182536780911 , 8.237718973562215 )
( 3.1535188015259656 , 8.221371081731625 )
( 3.1781012654236456 , 8.220864603094318 )
( 3.196890758092697 , 8.165288342604189 )
( 3.3198474187271856 , 8.133500851454356 )
( 3.321096461326079 , 8.016741138960597 )
( 3.4756110615339266 , 8.015890853880745 )
( 3.503527122893076 , 7.977763904250989 )
( 3.505400572245568 , 7.882765033030945 )
( 3.5322171454946543 , 7.843702048522248 )
( 3.636336629951822 , 7.832872041020682 )
( 3.8786090502440915 , 7.6262532111014565 )
( 3.9283024862977216 , 7.555857317523427 )
( 3.9537299612762054 , 7.299603505745757 )
( 3.98862165163863 , 7.2992156287986205 )
( 4.022127471301621 , 7.295098519849731 )
( 4.063501077140434 , 7.253351971296899 )
( 4.06912314634627 , 7.177478370890343 )
( 4.082264265702123 , 6.937701911533814 )
( 4.130209598110091 , 6.9204228470572975 )
( 4.207612653974667 , 6.880430031115363 )
( 4.299145058854535 , 6.839371488335221 )
( 4.318570920395016 , 6.797094726558646 )
( 4.325425714048579 , 6.79303879865675 )
( 4.354917054009193 , 6.793036896328444 )
( 4.363991101274253 , 6.771201920464379 )
( 4.374586597233824 , 6.70062004739459 )
( 4.382047614521577 , 6.594797236346466 )
( 4.730355241700021 , 6.5841129783892995 )
( 4.760478615122318 , 6.476643302011235 )
( 4.850346875376302 , 6.374995538049162 )
( 4.860179522848819 , 6.365495408679957 )
( 4.893437756013258 , 6.198671413469426 )
( 4.941770025789796 , 6.164193657175473 )
( 4.943437293918606 , 6.090452731111018 )
( 4.990006251595085 , 6.069153742399941 )
( 5.011529978370027 , 6.063181232276101 )
( 5.0264752275766105 , 5.902068005096802 )
( 5.167886805572619 , 5.897429025338153 )
( 5.215183207368705 , 5.840679530277063 )
( 5.386806694362712 , 5.743651320110284 )
( 5.413425012122337 , 5.73828976247205 )
( 5.437945260086437 , 5.658866012774672 )
( 5.44043798144116 , 5.517319051339575 )
( 5.785976746012933 , 5.4792026620926135 )
( 5.854605659534868 , 5.434870795976138 )
( 5.859963334247674 , 5.423825756056078 )
( 5.9325338188309455 , 5.385607305216665 )
( 5.947763310054325 , 5.378951296658842 )
( 6.021992249293227 , 5.327126002012485 )
( 6.023416204075275 , 5.140681534731339 )
( 6.109646680074625 , 5.127781405998153 )
( 6.12223449735038 , 5.119935710732215 )
( 6.150931776902617 , 5.080528373980815 )
( 6.173994652103334 , 5.004279833425197 )
( 6.187107491620323 , 4.966008586257841 )
( 6.205632036684796 , 4.965433493976572 )
( 6.222796111243354 , 4.908730725071629 )
( 6.229192092074664 , 4.813306929097929 )
( 6.2611935961020615 , 4.792854495604599 )
( 6.269065686055452 , 4.767612385640856 )
( 6.307631428881185 , 4.712277253712578 )
( 6.3521140223407855 , 4.7009717658894745 )
( 6.496110012706252 , 4.6093925993923985 )
( 6.6191553759131185 , 4.590470623426854 )
( 6.646026910393658 , 4.353594870154284 )
( 6.767033111215679 , 4.1997576477871625 )
( 6.787943956679128 , 4.0953462356276376 )
( 6.78822909326671 , 4.073703927263235 )
( 6.878613806144489 , 4.006554155012226 )
( 10.024378490922611 , 20.956971388415113 )
( 10.039567827997695 , 20.726378623373225 )
( 10.07631623649822 , 20.706763924332236 )
( 10.09493435068147 , 20.542216936486902 )
( 10.149587571479126 , 20.48997922668336 )
( 10.157352033733101 , 20.401063252172484 )
( 10.190600864634145 , 19.832601802013055 )
( 10.198179578797781 , 19.761562367037506 )
( 10.262033122351932 , 19.408137424239122 )
( 10.303081808023439 , 19.20745277753388 )
( 10.316211347972448 , 19.148526282003335 )
( 10.333273584460404 , 19.124876241623035 )
( 10.396858331111288 , 19.109535998545347 )
( 10.460404312050711 , 18.97893639919913 )
( 10.522191139969376 , 18.821410443964346 )
( 10.546070820443655 , 18.731103253844687 )
( 10.589200182348428 , 18.5937791445936 )
( 10.719893232892305 , 18.405966864180407 )
( 10.720222060953718 , 18.357203414773153 )
( 10.755869009862483 , 18.212759586323934 )
( 10.764606128473757 , 18.025638080898318 )
( 10.81269430716111 , 17.554688383472214 )
( 10.818198282616029 , 17.54062642017248 )
( 10.919776043085957 , 17.492600832181814 )
( 11.036463980491652 , 17.468859459414738 )
( 11.099216617049791 , 17.36586374820983 )
( 11.102400649326913 , 17.121125158568496 )
( 11.20113747083865 , 17.101038518338868 )
( 11.259922368371877 , 16.301904195493158 )
( 11.342393007005295 , 16.05946964611329 )
( 11.378108950101122 , 15.857323881688439 )
( 11.398548688669036 , 15.514365549011345 )
( 11.46061195386821 , 15.472515869044985 )
( 11.536076955708339 , 15.43923918844037 )
( 11.54522738241239 , 15.324700468479946 )
( 11.561993042640848 , 15.29077755719606 )
( 11.564451194289466 , 14.89244097149656 )
( 11.574147563907932 , 14.572585848029 )
( 11.582844254780843 , 14.534521951002692 )
( 11.588011501429724 , 13.852870741611966 )
( 11.608621160516002 , 13.70886633363425 )
( 11.617184798675456 , 13.701692590337668 )
( 11.631388942809567 , 13.574581525426801 )
( 11.662175092494783 , 13.489415635114547 )
( 11.69369236926416 , 13.450304655797549 )
( 11.71707104558504 , 13.446642846786814 )
( 11.740970851494858 , 13.446075324732725 )
( 11.773458950541373 , 13.419401601026413 )
( 11.782875859164069 , 13.417234913238929 )
( 11.857237080840353 , 13.187636928480304 )
( 11.934162563567373 , 12.714894251382715 )
( 11.988823508733116 , 12.602311219648822 )
( 12.010945749984524 , 12.242892756503622 )
( 12.090049496243461 , 12.186883397996908 )
( 12.142546241932761 , 12.126978800608143 )
( 12.188566542353474 , 12.06528290138513 )
( 12.253466204772835 , 12.052950280993333 )
( 12.302699788392456 , 11.948894410285245 )
( 12.31485324972098 , 11.832344213176839 )
( 12.372236120426809 , 11.808847394096263 )
( 12.40414662322042 , 11.757064757345459 )
( 12.427608527348916 , 11.641463248272856 )
( 12.428574336802788 , 11.475083297811345 )
( 12.521037119188 , 11.39063312936617 )
( 12.543487415969333 , 11.381742727840606 )
( 12.581020595014515 , 11.361165296996276 )
( 12.60431780376179 , 11.317232226361131 )
( 12.620492517921612 , 11.230688237599901 )
( 12.623073102421106 , 11.204601159429341 )
( 12.659196571021342 , 11.035543997056564 )
( 12.72617669289728 , 10.926979980975956 )
( 12.78739679816313 , 10.724999976175763 )
( 12.845530870166806 , 10.411434183633368 )
( 12.890808906286615 , 10.360144417826726 )
( 12.896958695823123 , 10.210325899739537 )
( 12.919795056009164 , 10.094540582956112 )
( 12.993363156645406 , 9.714661337286651 )
( 13.00152778504643 , 9.709826656902559 )
( 13.002952455211881 , 9.141998291001503 )
( 13.037544598208893 , 9.071020940079945 )
( 13.052602611661621 , 8.851462751346176 )
( 13.140521847720247 , 8.001258676599528 )
( 13.15392900026794 , 7.9169171220423475 )
( 13.158717965212816 , 7.842471674014611 )
( 13.168370717686944 , 7.806249028222151 )
( 13.229923385637328 , 7.319760362577242 )
( 13.325762362888636 , 7.059926027912864 )
( 13.387726642348555 , 6.915991157630431 )
( 13.437469596302291 , 6.781072664781657 )
( 13.447159574663129 , 6.583265468364111 )
( 13.46529747112077 , 6.411967476270343 )
( 13.466364659392909 , 6.410919676501326 )
( 13.51069889369697 , 5.987363817896824 )
( 13.573106369098745 , 5.8403264796230125 )
( 13.735917721445691 , 5.550023807699258 )
( 13.796302940054233 , 5.475121574365515 )
( 13.821803011549859 , 5.297539179210979 )
( 13.89853230207251 , 5.1495074716568805 )
( 13.915226932645005 , 5.114603158381254 )
( 13.939051310828805 , 5.055089043476597 )
( 14.00167254975213 , 3.001557699514385 )
( 14.014474822430664 , 3.013217463926292 )
( 14.033823754208314 , 3.075444028886349 )
( 14.056511948228861 , 3.0839233177675824 )
( 14.09053137219743 , 3.0840512273540437 )
( 14.108803509733265 , 3.1323805197706003 )
( 14.130089899423854 , 3.1420740411761883 )
( 14.217222200801801 , 3.1480967728760323 )
( 14.258916228418082 , 3.1572172262737235 )
( 14.285395588060359 , 3.2224456811787174 )
( 14.304468486148028 , 3.242866326350872 )
( 14.30631100532582 , 3.2483532152310954 )
( 14.422035075533492 , 3.28322037700313 )
( 14.437344732588734 , 3.2897118667059524 )
