( 1.0182808913404466 , 9.892648362691238 )
( 1.1235484610760578 , 9.85035187840257 )
( 1.2033289480526659 , 9.788452668211896 )
( 1.650217433815826 , 9.718373093334069 )
( 1.7898880876281813 , 9.43218704129 )
( 1.8392512333027558 , 9.431667937567598 )
( 1.915984792891502 , 9.318618528677245 )
( 1.939310622410545 , 9.260678513246964 )
( 2.0166367640116962 , 9.073377815746266 )
( 2.0410452918668183 , 9.05962350166145 )
( 2.2144543848228917 , 9.050442514806042 )
( 2.2172434709558253 , 8.9332793771684 )
( 2.2286150726913228 , 8.924874241567714 )
( 2.3302728489508797 , 8.858752274667472 )
( 2.399186330992861 , 8.788978364197774 )
( 2.4952299092848795 , 8.781768452032752 )
( 2.503602081080301 , 8.732917326715198 )
( 2.519672867611667 , 8.649529637506852 )
( 2.562349982219512 , 8.501660089550553 )
( 2.568838767054439 , 8.476071058461372 )
( 2.576180436077238 , 8.442380938594534 )
( 2.629978943989478 , 8.326950988936636 )
( 2.6535942891025295 , 8.207838249999748 )
( 2.6955867668679923 , 8.11659563474582 )
( 2.732295720183588 , 8.095597641947435 )
( 2.7694979336963303 , 7.940072799355892 )
( 2.8940264828606277 , 7.879153739111629 )
( 2.9070141129819116 , 7.774770248812202 )
( 2.9229124193223313 , 7.75370596013325 )
( 2.970772049789616 , 7.722587485988439 )
( 2.9777810016420228 , 7.681819993497889 )
( 3.0036120843397685 , 7.542231175464863 )
( 3.025065824295339 , 7.527803419693174 )
( 3.047899534369895 , 7.433707371364465 )
( 3.0527925758404573 , 7.418811953972245 )
( 3.0944443709386427 , 7.387035058104026 )
( 3.100666075664659 , 7.342893934950066 )
( 3.1351738496182895 , 7.307054113956263 )
( 3.1574871066075643 , 7.282191226251539 )
( 3.1868203465055114 , 7.228530562811312 )
( 3.1905205259300224 , 7.096894879240625 )
( 3.1956304926830184 , 6.930043518633973 )
( 3.204203271396159 , 6.903795802731163 )
( 3.4802516661417293 , 6.8972750176886475 )
( 3.510561628918678 , 6.828938572798741 )
( 3.524450716074562 , 6.80947510026977 )
( 3.5706692746263275 , 6.7820664357592495 )
( 3.571659144199324 , 6.744723526091571 )
( 3.6061492413687537 , 6.702217389384505 )
( 3.71179441232223 , 6.699730831277307 )
( 3.7153343434355675 , 6.666986468233015 )
( 3.736164865999144 , 6.635674409404962 )
( 3.863758984410709 , 6.634754376600919 )
( 3.909378836724831 , 6.5888346523464465 )
( 4.014283411618045 , 6.576838721592012 )
( 4.156432095508336 , 6.551170682235013 )
( 4.166275088104214 , 6.460778332490046 )
( 4.170122269350462 , 6.43624611385639 )
( 4.3128355428755025 , 6.38245884248679 )
( 4.377516994247393 , 6.381273764064529 )
( 4.473619435369929 , 6.3679424296102365 )
( 4.561313668960402 , 6.345432694579154 )
( 4.571680560152879 , 6.318200879836227 )
( 4.577652952701924 , 6.208307169734607 )
( 4.621665680429344 , 6.114483384520385 )
( 4.623651104101974 , 5.930012052762011 )
( 4.6250221358845796 , 5.850771254620134 )
( 4.818237311917695 , 5.82950976974518 )
( 4.823065928221517 , 5.732912342458354 )
( 4.829155600209837 , 5.724008064854564 )
( 4.878884373236215 , 5.6599013192706735 )
( 4.888933771442884 , 5.593258352782877 )
( 4.905699987986531 , 5.574494465150517 )
( 4.937854388461279 , 5.396207469583474 )
( 4.979791848890426 , 5.316844977710984 )
( 5.028118178903169 , 5.227877206253998 )
( 5.21175292294947 , 5.1453305979292665 )
( 5.299167712520479 , 5.1162705414364655 )
( 5.329340307419255 , 5.046550356185274 )
( 5.346742282832405 , 5.035490222185647 )
( 5.3691992849486905 , 4.977080240381879 )
( 5.378313874754106 , 4.915960146697693 )
( 5.454833143692117 , 4.853278826648731 )
( 5.485914711182041 , 4.770509921518109 )
( 5.659586888044729 , 4.675852569351548 )
( 5.692971743327145 , 4.660420834800009 )
( 5.906865377831847 , 4.629288104355442 )
( 6.0810462483145304 , 4.624532225881586 )
( 6.152033310831799 , 4.551395572827368 )
( 6.199816916467878 , 4.537903564232304 )
( 6.292807239572899 , 4.49264867126737 )
( 6.295215677062554 , 4.482208353148083 )
( 6.308714152730252 , 4.438606446960506 )
( 6.548873573975278 , 4.38718639029539 )
